rank	word	reading	pos	meaning	example	translation
3556	苦しい	くるしい	i-adjective	painful; difficult; tough	彼らは苦しい生活に耐えねばならなかった。	They had to endure a hard life.
3557	虐待	ぎゃくたい	noun	abuse; ill-treatment; maltreatment	彼女は何年もの間彼の虐待に黙って耐えた。	She has suffered his ill treatment of her in silence for years.
3558	証券	しょうけん	noun	bond; bill; certificate	私は証券会社で働いています。	I work for a stock company.
3559	調達	ちょうたつ	noun	supply; provision; raising	問題は、どうしてその金を調達するかだ。	The question is how we can raise the money.
3560	追求	ついきゅう	noun	pursuit (of a goal, ideal, etc.); search; chase	彼の人生は社会的に権力を追求する人生だった。	His was a life pursuing social status and power.
3561	通話	つうわ	noun	telephone call; speaking over the telephone; (Internet) voice call	通話の申し込みを取り消しましょうか。	Should I cancel the call?
3562	連休	れんきゅう	noun	consecutive holidays	今度の３連休には何をしますか。	How will you spend the coming three-day holiday?
3563	進める	すすめる	verb	to advance; to move forward; to put (a clock, watch) forward	彼がその計画を進めたのは間違いだった。	He was wrong to go ahead with the plan.
3564	進歩	しんぽ	noun	progress; advance; improvement	戦後日本は科学技術の面で大いに進歩した。	Since the war, Japan has advanced greatly in science and technology.
3565	遺跡	いせき	noun	(archeological) remains; ruins; relics	遠くに古代の遺跡が見えるでしょう。	You can see the ancient ruins in the distance.
3566	野生	やせい	adjective	wild	その地域は風景と野生動物で注目に値する。	The area is notable for its scenery and wildlife.
3567	阻止	そし	noun	obstruction; prevention; hindrance	インフレを阻止しなければならない。	Inflation should be checked.
3568	雑	ざつ	na-adjective	rough; crude; sloppy	彼は仕事が雑だ。	He is careless and untidy in his work.
3569	順番	じゅんばん	noun	order; turn	彼は順番を間違えてカードを出してしまった。	He has played his card out of turn.
3570	騒ぎ	さわぎ	noun	uproar; disturbance	いったいこの騒ぎはどうしたというのだ。	What's all this noise about?
3571	もたらす	もたらす	verb	to bring (news, knowledge, etc.); to introduce	北海道の大地震は大きな被害をもたらした。	The earthquake in Hokkaido caused extensive damage.
3572	やがて	やがて	adverb	before long; soon; shortly	人類が火星に行ける日がやがて来るだろう。	The day will soon come when man can travel to Mars.
3573	やりとり	やりとり	noun	giving and taking; exchange (of letters); arguing back and forth	両親とは手紙のやりとりを続けています。	I keep in touch with my parents by mail.
3574	エレベーター	えれべーたー	noun	elevator; lift	彼はエレベーターが降りてくるのを待った。	He waited for the elevator to come down.
3575	オイル	おいる	noun	oil; petroleum	石油を運ぶ船をオイル・タンカーという。	A ship which conveys oil is called an oil tanker.
3576	キット	きっと	noun	kit	配線を間違えないように注意してキットを組み立てた。	I built the kit taking care not to make mistakes in the wiring.
3577	キャプテン	きゃぷてん	noun	captain	彼らは太郎をチームのキャプテンに選んだ。	They elected Taro captain of their team.
3578	クリーム	くりーむ	noun	cream	クリームと砂糖を入れたコーヒーをください。	Coffee, please, with cream and sugar.
3579	ステップ	すてっぷ	noun	step (of a staircase, etc.); running board (of a bus, train)	焦らずに、目の前のステップを一つ一つのぼっていきたい。	I want to take things one step at a time without getting flustered. I want to live in the moment.
3580	ズボン	ずぼん	noun	trousers; pants	彼は毎日ズボンにアイロンをかけてもらう。	He has his trousers pressed every day.
3581	ドキドキ	どきどき	adverb	thump-thump; bang-bang; pit-a-pat	胸をドキドキさせながら彼女はドアを開けた。	With her heart pounding, she opened the door.
3582	ドリンク	どりんく	noun	drink	どんなトロピカルドリンクがありますか。	What kinds of tropical drinks do you have?
3583	ハロウィン	はろうぃん	noun	Halloween	ハロウィンおめでとう。	Happy Halloween!
3584	パチンコ	ぱちんこ	noun	pachinko; mechanical gambling game superficially resembling pinball	私たちは、パチンコをして時を過ごした。	We passed the time playing pachinko.
3585	フェア	ふぇあ	na-adjective	fair	失敗を両親のせいにするのはフェアではありません。	It's not fair to attribute your failure to your parents.
3586	フライ	ふらい	noun	deep-fried food	フライ級チャンピオンは強い挑戦者と戦った。	The flyweight champion contended with a strong challenger.
3587	ブルース	ぶるーす	noun	blues	ブルース夫人は英日間を飛んだ最初の女性パイロットであった。	Mrs. Bruce was the first female pilot to fly between England and Japan.
3588	ボー	ぼー	noun	bow (weapon)	お前、何だかボーっとしてるよ。	You're out of it.
3589	マック	まっく	noun	McDonald's (fast food restaurant)	ビルもマックもコンピューターに夢中だ。	Both Bill and Mac are crazy about computers.
3590	リラックス	りらっくす	noun	relaxing; relaxation	彼はギターを弾いているとリラックスできる。	He feels relaxed when he's playing the guitar.
3591	一種	いっしゅ	noun	a kind; a sort; a variety	怒りを抑えることは一種の美徳である。	It's a kind of virtue to keep one's temper.
3592	並	なみ	adjective	average; medium; common	それはとても並の嵐ではなかった。	That was no ordinary storm.
3593	今や	いまや	adverb	now (esp. in contrast to the past); now at last; at present	彼女は今や私の手の届かないところにいる。	Now she is out of my reach.
3594	休暇	きゅうか	noun	holiday; vacation; day off	彼女は休暇過ごしにフランスにやって来た。	She came over to France for a holiday.
3595	保有	ほゆう	noun	possession; retention; maintenance	会社を経営することと保有することとは違う。	Management of a company is different from ownership of a company.
3596	偉大	いだい	na-adjective	great; grand; magnificent	彼女は偉大な音楽家であることがわかった。	She proved to be a great musician.
3597	公務員	こうむいん	noun	public employee; government employee; public-sector worker	彼は２０年前、大学を卒業するとすぐに公務員になった。	He entered civil service 20 years ago right after college.
3598	冒頭	ぼうとう	noun	beginning; opening; start	残っているのは冒頭の部分だけであった。	All that was left was the opening.
3599	出張	しゅっちょう	noun	business trip; official trip	札幌に出張に行って、足が出てしまった。	I went to Sapporo on business and went over budget.
3600	協定	きょうてい	noun	arrangement; pact; agreement	協定が結ばれる可能性は極めて少ない。	There is very little probability of an agreement being reached.
3601	原理	げんり	noun	principle; theory; fundamental truth	誰もがその考えを原理的には認めるだろう。	Everyone will accept that idea in principle.
3602	商売	しょうばい	noun	trade; business; commerce	商売をしている人は不況だとこぼしている。	Merchants complain about the depression.
3603	喫煙	きつえん	noun	smoking (tobacco)	彼女はついに喫煙という悪い習慣がついた。	She eventually got into the bad habit of smoking.
3604	在住	ざいじゅう	noun	residing; living; dwelling	加藤氏は、パリに在住していて、家に残した家族を懐かしがっている。	Mr Kato, who lives in Paris, misses his family left at home.
3605	地帯	ちたい	noun	zone; area; belt	最近は安全地帯が必ずしも安全ではない。	Nowadays, a safety zone is not always safe.
3606	店長	てんちょう	noun	shop manager	彼は取引銀行の店長に好意的な印象を与えた。	He made a favorable impression on his bank manager.
3607	座席	ざせき	noun	seat (esp. in public places or places with assigned seating); seating	倒した座席の背を少し戻していただけますか。	Could you put your seat back up a little?
3608	打つ	うつ	verb	to hit; to strike; to knock	彼は心臓がどきどき打っているのを感じた。	He felt his heart beating fast.
3609	教員	きょういん	noun	teacher; instructor; teaching staff	私は教員になったことを後悔している。	I regret becoming a teacher.
3610	概要	がいよう	noun	outline; summary; overview	彼は私に事件の概要を説明した。	He gave me an outline of the affair.
3611	法案	ほうあん	noun	bill (law); measure	彼らのうち数人がその法案に反対である。	Several of them are opposed to the bill.
3612	爆撃	ばくげき	noun	bombing (raid)	首都は繰り返し繰り返し爆撃された。	The capital was bombed again and again.
3613	石油	せきゆ	noun	oil; petroleum	我々は石油があるのは当然だと思っている。	We take oil for granted.
3614	確立	かくりつ	noun	establishment; settlement	世界平和を確立するために全力を尽くすべきである。	We should do our utmost to establish world peace.
3615	秘書	ひしょ	noun	(private) secretary	彼女はある事務所で秘書として働いている。	She works as a secretary in an office.
3616	かご	かご	noun	basket (shopping, etc.); hamper; cage	かごの中にリンゴがいくつか入っています。	There are some apples in the basket.
3617	ひも	ひも	noun	string; cord	その子は靴のひもを結ぶのがやっとだった。	That child could barely manage to tie his shoes.
3618	絆	きずな	noun	bond (between people); (emotional) ties; bonds	私たちは互いに固い友情の絆で結ばれている。	We are bound to each other by a close friendship.
3619	羊	ひつじ	noun	sheep (Ovis aries)	これらの雲は白い羊の群れのように見える。	These clouds look like a flock of white sheep.
3620	羨ましい	うらやましい	i-adjective	envious; jealous	なんかその日暮らしって感じで、羨ましい。	I envy your lifestyle - living day-to-day like that.
3621	誘惑	ゆうわく	noun	temptation; allurement; lure	彼はまるで子供だったので、誘惑に負けた。	Because he was just like a child, he yielded to temptation.
3622	貿易	ぼうえき	noun	(foreign) trade; (international) commerce; importing and exporting	日本は、世界の多くの国々と貿易している。	Japan trades with lots of countries in the world.
3623	陰謀	いんぼう	noun	plot; intrigue; scheme	彼らのほとんどがその陰謀に加わったと思う。	I think most of them took part in the plot.
3624	陸上	りくじょう	noun	(on) land; ground; shore	彼は陸上競技会で見事な成績をあげた。	He acquitted himself admirably at the track meet.
3625	駆逐	くちく	noun	expulsion; driving out; driving away	彼らは日本品を市場から駆逐しようとしている。	They are trying to drive Japanese goods out of the market.
3626	高等	こうとう	na-adjective	high class; high grade	高等学校では英語と数学が重視されている。	English and mathematics are made much of in senior high schools.
3627	鹿	しか	noun	deer (esp. the sika deer, Cervus nippon); cervid	ジェーンは一生懸命鹿を追いかけました。	Jane ran after the deer as fast as possible.
3628	さっぱり	さっぱり	adverb	feeling refreshed; feeling relieved	私はゴルフのやり方はさっぱりわからない。	I don't have a clue how to play golf.
3629	やたら	やたら	adverb	indiscriminately; blindly; at random	彼はやたらとその結果を知りたがっている。	He is anxious to know the result.
3630	ゆえ	ゆえ	noun	reason; circumstances; grounds	彼の欠点のゆえにかえって人々は彼を好いた。	People liked him all the better for his faults.
3631	エンジニア	えんじにあ	noun	engineer	父は私をエンジニアにするつもりです。	My father intends that I should become an engineer.
3632	キャンセル	きゃんせる	noun	cancellation	もし無理な場合は注文をキャンセルします。	Otherwise we will have to cancel this order.
3633	グレード	ぐれーど	noun	grade	現在のバージョンは、アップグレード版で置き換えます。	We will replace the current version with the upgrade.
3634	ストップ	すとっぷ	noun	stop	厳しい資金不足で計画はストップしている。	An acute lack of funds is holding up the plan.
3635	デスク	ですく	noun	desk	きれいな花が受付のデスクに飾ってありました。	There were beautiful flowers on the reception desk.
3636	ナイフ	ないふ	noun	knife	ロープをナイフで切って彼は自由になった。	He cut himself free with his knife.
3637	ネーム	ねーむ	noun	name	ファーストネームでお呼びすることをお許し下さい。	Please excuse me for calling you by your first name.
3638	バター	ばたー	noun	butter	私はチーズよりバターの方が好きなんです。	I like butter better than cheese.
3639	フラッシュ	ふらっしゅ	noun	flash (esp. of a camera); flashlight; flashbulb	フラッシュを使ってもいいですか。	Is it all right to use a flash here?
3640	マット	まっと	noun	mat	マットは我々のチームの強力な新メンバーだ。	Matt is a powerful acquisition for our team.
3641	マネー	まねー	noun	money	トムの友達は彼のことを「マネーバッグ」と呼んだ。	Tom's friends called him Mr Money Bags.
3642	ラウンド	らうんど	noun	round	彼が１ラウンドもてば上々だと僕は思っていたよ。	I had him pegged for a one-rounder at most.
3643	ラッキー	らっきー	na-adjective	lucky	彼らは自分たちの犬をラッキーと名付けた。	They named their dog Lucky.
3644	リクエスト	りくえすと	noun	request	そんなことリクエストしていません。	I didn't request you to do that.
3645	ワクチン	わくちん	noun	vaccine	流感の予防ワクチンの注射をした。	I was vaccinated against the flu.
3646	ちょうど	ちょうど	adverb	exactly; precisely; just	ちょうどその時、件の二人が登校してきた。	Just then the two in question arrived at school.
3647	乗客	じょうきゃく	noun	passenger	溺れかかっていた乗客はすべて救助された。	All the passengers were saved from drowning.
3648	互いに	たがいに	adverb	mutually; with each other; reciprocally	彼らは２度と互いに会えない運命であった。	They were never to see each other again.
3649	伝わる	つたわる	verb	to spread (of a rumour, news, etc.); to travel; to circulate	その伝説は昔からこの地方に伝わっている。	The legend has come down in this district from olden times.
3650	信	しん	noun	honesty; sincerity; fidelity	さて。その言葉に信を置いてよいものやら。	Well now. Are those words to be trusted I wonder?
3651	公認	こうにん	noun	official recognition; official approval; certification	新しい候補者が、民主党の党大会で公認候補となりました。	There was a new candidate on the ticket at the Democratic convention.
3652	再会	さいかい	noun	meeting again; reunion	彼女は彼に再会するのを楽しみにしていた。	She was looking forward to seeing him again.
3653	助かる	たすかる	verb	to be saved; to be rescued; to survive	あなたが手伝ってくれれば私は本当に助かる。	If you could assist me, it would be a great help.
3654	動機	どうき	noun	motive; incentive	彼女は何か利己的な動機で行動している。	She is acting from some selfish motive.
3655	奇妙	きみょう	na-adjective	strange; odd; peculiar	彼は自分の奇妙な行為の理由の説明をした。	He accounted for his strange acts.
3656	定番	ていばん	noun	standard item; usual thing; (a) classic	若い男女が人里離れた洋館で恐怖の一夜を過ごすという、ホラーの定番スタイルだ。	This is a horror staple - young men and women spend a night of terror in an isolated house.
3657	将	しょう	noun	commander; general; leader	将を射んと欲すれば先ず馬を射よ。	He who would the daughter win, with the mother must begin.
3658	就任	しゅうにん	noun	assumption (of office); taking up (a post); inauguration	シドニー支店長に就任すると伺いました。	I heard you have become Branch Manager of the Sydney office.
3659	巣	す	noun	nest; rookery; breeding place	あの鳥たちは夏に巣を作り、冬に南へ渡る。	Those birds build their nests in the summer and fly to the south in the winter.
3660	己	おのれ	pronoun	I; me	他人を己を持って計ってはいけない。	You must not judge others by yourself.
3661	幻	まぼろし	noun	phantom; vision; illusion	私の罪は幻のように思える。	My crime seems unreal to me.
3662	後者	こうしゃ	noun	the latter; the second	前者が解決すれば後者も解決するであろう。	The solution of one may prove to be the solution of the other.
3663	戦前	せんぜん	noun	pre-war days; before the war	戦前、ヨーロッパへ行きました。	I went to Europe before the war.
3664	手前	てまえ	noun	before oneself; in front of one; nearby	あの信号の手前で降ろしてください。	Please let me off on this side of that traffic light.
3665	損傷	そんしょう	noun	damage; injury	私達は脳損傷の原因について研究を行う。	We carry out some research into the causes of brain damage.
3666	救助	きゅうじょ	noun	relief; aid; rescue	溺れかかっていた乗客はすべて救助された。	All the passengers were saved from drowning.
3667	数々	かずかず	noun	many; numerous; various	私は彼の数々の親切が忘れられない。	I cannot forget his kindness.
3668	暮らす	くらす	verb	to live (on, by, etc.); to lead a life; to get along	父の残した財産で彼は楽に暮らしていける。	The property left him by his father enables him to live in comfort.
3669	本音	ほんね	noun	real intention; motive; true opinion	社長は言うことと本音が違う。	My boss says one thing and means another.
3670	枕	まくら	noun	pillow; bolster	枕と毛布をもってきていただけるか。	Could you bring me a pillow and blanket, please?
3671	棚	たな	noun	shelf; ledge; rack	その本はいちばん上の棚に置いてください。	Put the book on the top shelf.
3672	機嫌	きげん	noun	humour; humor; temper	こんにちは、今日のご機嫌はいかがですか。	Good day. How are you today?
3673	流す	ながす	verb	to drain; to pour; to run	彼女は頬に涙を流しながら彼の手紙を読んだ。	She read his letter, with tears streaming down her cheeks.
3674	炎上	えんじょう	noun	going up in flames; destruction by fire (esp. of a large building)	彼は幸運にも炎上しているビルから救出された。	He had the good fortune to be rescued from the burning building.
3675	煙	けむり	noun	smoke; fumes	大気汚染は煙突から出る煙が原因になる。	Smoke coming from chimneys is a cause of air pollution.
3676	甲子園	こうしえん	noun	Koshien Stadium (baseball park in Nishinomiya, Hyōgo Prefecture)	私は、甲子園球場に行く。	I go to Koshien stadium.
3677	異性	いせい	noun	the opposite sex	彼女は異性の前では非常に恥ずかしがる。	She feels very shy in the presence of the opposite sex.
3678	相撲	すもう	noun	sumo (wrestling)	相撲は日本の伝統的なスポーツです。	Sumo is the traditional sport of Japan.
3679	祖父	そふ	noun	grandfather	私はこの景色を見ると必ず祖父を思い出す。	I never watch this scenery without thinking of my grand-father.
3680	育てる	そだてる	verb	to raise; to rear; to bring up	母は私たちを育てるために一生懸命働いた。	My mother worked hard in order to rear us.
3681	自称	じしょう	noun	professing oneself to be; calling oneself; describing oneself as	彼は財政の専門家であると自称した。	He claimed to be an expert in finance.
3682	西洋	せいよう	noun	the West; the Occident; Western countries	それらは西洋の風呂よりずっといいです。	They are much better than Western baths.
3683	豆腐	とうふ	noun	tofu; bean curd; beancurd	悪いけどお豆腐買ってきてくれない？	I really shouldn't ask, but could you go get some tofu for me?
3684	車内	しゃない	noun	inside a car (train, bus, etc.)	車内の彼の周りでは、ほかの乗客たちが前後左右に揺れていた。	Around him in the carriage, the other passengers rocked and swayed.
3685	逃亡	とうぼう	noun	escape; flight; running away	逃亡犯人を捕まえようと油断なく見張った。	I was on the alert for a fugitive criminal.
3686	遠征	えんせい	noun	(military) expedition; campaign	私たちは遠征試合でほとんど負けてしまった。	We lost almost all our away games.
3687	雑談	ざつだん	noun	chatting; idle talk	彼はコーヒーを飲みながら彼女と雑談した。	He visited with her over a cup of coffee.
3688	食堂	しょくどう	noun	dining room; dining hall; cafeteria	腹の減った男の子たちは、食堂の方へ進んだ。	The hungry boys made for the restaurant.
3689	魔術	まじゅつ	noun	magic; sorcery; witchcraft	男は魔術で少女を恐れさせた。	The man awed the girl with his magic tricks.
3690	ちんちん	ちんちん	noun	penis	僕は犬にちんちんを教えた。	I have taught my dog to sit up and beg.
3691	アドレス	あどれす	noun	address	このアドレスのところに行ってください。	Please take me to this address.
3692	エアコン	えあこん	noun	air conditioner; air conditioning; aircon	彼女は家にエアコンを付けてもらった。	She had an air conditioner installed in her house.
3693	クイーン	くいーん	noun	queen	この船をクイーンエリザベスと名づける。	I name this ship the Queen Elizabeth.
3694	スイス	すいす	noun	Switzerland	スイスは訪れる価値のある美しい国です。	Switzerland is a beautiful country worth visiting.
3695	チャート	ちゃーと	noun	chart	この歌はヒットチャートの第１位にランクされています。	This song is No. 1 on the hit chart.
3696	パスタ	ぱすた	noun	pasta	ここ、結構パスタがいけるのよ。あとピザも。	The pasta here's pretty good. And the pizza too.
3697	プレート	ぷれーと	noun	plate (e.g. nameplate, license plate)	この板状の固い岩石の層をプレートと呼ぶ。	We call these slabs of the solid-rock layer 'plates'.
3698	ボート	ぼーと	noun	boat	彼は小さなボートに乗ってその川を渡った。	He crossed the river in a small boat.
3699	マックス	まっくす	noun	max; maximum	乗せられるのは１００キロがマックスです。	A load of 100 kilograms is the max.
3700	ミュージック	みゅーじっく	noun	music	ミュージックボックス劇場では何をやっていますか。	What's playing at the Music Box Theater?
3701	ラリー	らりー	noun	rally	フレッドの意見がしゃくにさわったラリーは、居丈高な態度に出た。	Because he thought Fred's comment was tacky, Larry got up on his high horse.
3702	世帯	せたい	noun	household; family	その家は二世帯の家族を収容できる。	The house could accommodate two families.
3703	何事	なにごと	noun	what; what sort of thing	彼らは何事においても古い習慣にこだわる。	They stick to old customs in everything.
3704	保健	ほけん	noun	preservation of health; hygiene; sanitation	彼女の保健体育の講義はさっぱり理解できない。	I can't make head nor tail of her lecture on health and physical education.
3705	兄貴	あにき	noun	elder brother	「そっか。暇なら掃除しといて」「なんだそれ。兄貴をアゴで使うなよ」	Oh? If you're free get the cleaning done. "What's up with that? Don't order your brother around!"
3706	全般	ぜんぱん	noun	(the) whole	全般的に彼女はとても信頼のおける人間だ。	By and large, she is a very reliable person.
3707	出荷	しゅっか	noun	shipping; shipment; forwarding	８月１５日までの出荷を確実にしていただけますか。	Can you absolutely assure delivery by August 15?
3708	副業	ふくぎょう	noun	side job; sideline; subsidiary business	農民はしばしば収入を補うために副業をします。	Farmers often moonlight to supplement their incomes.
3709	半端	はんぱ	noun	remnant; fragment; incomplete set	半端な時間に自転車に乗るだけだ。	I only ride a bicycle at odd times.
3710	友情	ゆうじょう	noun	friendship; fellowship; camaraderie	友情は、すべての中でいちばん大切である。	Friendship is the most precious of all.
3711	同行	どうこう	noun	accompanying (someone); going with; travelling together	病気のために彼は我々と同行できなかった。	Owing to illness, he could not come with us.
3712	告発	こくはつ	noun	indictment; prosecution; complaint	ホワイトはスパイだとして警察に告発された。	White was denounced to the police as a spy.
3713	売れる	うれる	verb	to sell (well)	コンピューターが飛ぶように売れています。	Computers are really selling like hotcakes.
3714	売買	ばいばい	noun	trade; buying and selling; trafficking (e.g. of humans, arms, drugs)	彼は彼らと家具の売買契約をした。	He made a bargain with them about the furniture.
3715	女子大	じょしだい	noun	women's college; women's university	エリオットさんの姪は女子大学に通っている。	Mr Eliot's niece goes to a women's college.
3716	実在	じつざい	noun	actual existence; real existence; existing in real life	サンタクロースが実在しないなんて信じない。	I don't believe that Santa Claus is imaginary.
3717	射撃	しゃげき	noun	firing; shooting; fire	彼は射撃がうまい。	He is a good shot.
3718	帰国	きこく	noun	return to one's country	彼が帰国を決めたのは、病気だったからだ。	It was because he was sick that he decided to return home.
3719	往復	おうふく	noun	making a round trip; going and returning; coming and going	私は大阪までの往復航空券を持っています。	I have a round-trip ticket to Osaka.
3720	徹底的	てっていてき	na-adjective	thorough; exhaustive; complete	どうせ英語を習うなら徹底的に学びなさい。	At any rate, if you learn English, study it thoroughly.
3721	抑制	よくせい	noun	control; restraint; suppression	彼は怒りを抑制することができなかった。	He could not control his anger.
3722	改良	かいりょう	noun	improvement; reform	この制度には改良の余地がない。	There is no room for further improvement in this system.
3723	時給	じきゅう	noun	hourly pay; hourly wage	あの修理工たちは時給一万円ももらっている。	Those mechanics are paid as much as ten thousand yen per hour.
3724	暗黒	あんこく	noun	darkness	アフリカはかつて、暗黒大陸と呼ばれた。	Africa was once called the Dark Continent.
3725	服装	ふくそう	noun	attire; dress; clothes	服装のこととなると彼女は時代に遅れている。	She is behind the times when it comes to clothes.
3726	果て	はて	noun	end; extremity; limit	言葉は宇宙の果てへと飛び出していく。	Words travel across the universe.
3727	枝	えだ	noun	branch; bough; limb	木にとっては枝は人間の手足に相当する。	Branches are to trees what limbs are to us.
3728	気づく	きづく	verb	to notice; to realize; to realise	彼は私がいることに気づかない様子だった。	He seemed unconscious of my presence.
3729	演じる	えんじる	verb	to act (a part); to play (a role)	彼はその事業において重要な役割を演じた。	He played an important part in the enterprise.
3730	特許	とっきょ	noun	patent	特許権は重要な財産権である。	A patent right is an important property right.
3731	現行	げんこう	noun	present; current; in operation	現行の法律は人種の多様性を考慮していない。	Existing legislation does not take diversity of races into account.
3732	発送	はっそう	noun	sending; forwarding; shipping	いつ発送してもらえるのか知りたいのですが。	I'd like to know when you can send it out.
3733	目立つ	めだつ	verb	to be conspicuous; to stand out	その帽子は変わった格好のために目立った。	The hat stood out because of its strange shape.
3734	着替え	きがえ	noun	changing clothes; change of clothes	着替えをするために家に帰った。	I went home to change my clothes.
3735	神話	しんわ	noun	myth; mythology	なにかギリシャ神話を、知っていますか。	Do you know any Greek myths?
3736	粉	こな	noun	flour; meal; powder	彼らは小麦をひいて粉にします。	They grind wheat into flour.
3737	聖書	せいしょ	noun	Bible; the Scriptures; Holy Writ	彼は有名な諺をいくつか聖書から引用した。	He quoted some famous proverbs from the Bible.
3738	花粉	かふん	noun	pollen	かわいそうにその子は花粉症に悩んでいる。	The poor child suffers from hay fever.
3739	融合	ゆうごう	noun	agglutination; adhesion; fusion	その物理学者は核融合の潜在的な危険性に気づいていた。	The physicist was aware of the potential danger of nuclear fusion.
3740	解雇	かいこ	noun	dismissal (of an employee); discharge; firing	彼は怠け者であるという理由で解雇された。	He was dismissed on the grounds that he was lazy.
3741	講義	こうぎ	noun	lecture	彼らはその講義をたいへん注意深く聞いた。	They listened to the lecture very attentively.
3742	警察官	けいさつかん	noun	police officer; policeman; policewoman	警察官は私が交通規則を無視したと責めた。	The policeman blamed me for ignoring traffic rules.
3743	貴族	きぞく	noun	nobility; aristocracy; peerage	その貴族は過去の光栄にしがみついている。	The aristocrat clings to the glory of his past.
3744	階級	かいきゅう	noun	(social) class	ナンシーはいわゆる貴族階級の出である。	Nancy comes from what we call the aristocracy.
3745	ばら	ばら	noun	rose	私は「ばら戦争」に非常に興味がある。	I have a great interest in the Wars of the Roses.
3746	わざと	わざと	adverb	on purpose; deliberately; intentionally	彼はわざとそうしたのだとふと私は思った。	It occurred to me that he had done it on purpose.
3747	アカデミー	あかでみー	noun	academy	新作の映画で彼はアカデミー賞を得た。	His new movie earned him an Academy Award.
3748	オランダ	おらんだ	noun	Netherlands; Holland	彼は６月にオランダから帰国しました。	He returned from Holland in June.
3749	ギア	ぎあ	noun	gear	車のギアを入れずにリバースを入れたので店先に多大な損害を与えた。	Instead of putting the car into gear, she put it into reverse, causing a great deal of damage to the store-front.
3750	ジャーナリスト	じゃーなりすと	noun	journalist	私はジャーナリストになる決心をしました。	I have made up my mind to become a journalist.
3751	チャンピオン	ちゃんぴおん	noun	champion	彼は世界チャンピオンになる可能性がある。	He is a potential world champion.
3752	パイプ	ぱいぷ	noun	pipe; tube	そのパイプは湖から工場まで水を運んでいる。	The pipe conveys water from the lake to the factory.
3753	ホルモン	ほるもん	noun	hormone	女性ホルモン分泌の乱れが不妊症の大きな原因です。	Female hormone imbalance is a major cause of infertility.
3754	ボブ	ぼぶ	noun	bob (haircut)	ボブはロック音楽に興味を覚えなくなった。	Bob lost interest in rock music.
3755	メダル	めだる	noun	medal	日本の運動選手は何個のメダルを取りましたか。	How many medals did the Japanese athletes collect?
3756	世話	せわ	noun	care; looking after; help	母が病気だったので、私が母の世話をした。	My mother being ill, I looked after her.
3757	主体	しゅたい	noun	main constituent; core; nucleus	社長が社員の主体的な取り組みを促した。	The president urged employees to act on their initiative.
3758	主役	しゅやく	noun	leading part; leading actor; leading actress	ケイトは映画で主役を演じる機会を与えられました。	Kate has been given an opportunity to play a major role in a movie.
3759	仁	じん	noun	benevolence (esp. as a virtue of Confucianism); consideration; compassion	巧言令色少なし仁。	Fair words butter no parsnips.
3760	光景	こうけい	noun	scene; spectacle; sight	彼女はその美しい光景に驚いて立っていた。	She stood astonished at the sight.
3761	冷凍	れいとう	noun	freezing; cold storage; refrigeration	この冷凍食品はどのくらい保存できますか。	How long can we keep this frozen food?
3762	切れる	きれる	verb	to break; to snap; to be cut	あなたの定期購読予約は六月号で切れます。	Your subscription expires with the June issue.
3763	勇者	ゆうしゃ	noun	hero; the brave; man of valour (valor)	将軍は勇者に「君は勲章に値する」と言った。	The general said to the brave man, "You deserve a medal."
3764	名作	めいさく	noun	masterpiece; masterwork	この映画はまさしく不朽の名作である。	This film is indeed an enduring masterpiece.
3765	境界	きょうかい	noun	boundary; border; limit	彼らは境界を越えてスペインに入った。	They crossed the border into Spain.
3766	変動	へんどう	noun	change; fluctuation	消費者物価指数は激しく変動しています。	The consumer price index has been fluctuating wildly.
3767	天井	てんじょう	noun	ceiling	天井にハエが１匹とまっているのが見えた。	I saw a fly on the ceiling.
3768	容赦	ようしゃ	noun	pardon; forgiveness; tolerance	今言ったことをどうかご容赦ください。	Please accept my apologies for what I said just now.
3769	尊重	そんちょう	noun	respect; esteem; regard	彼はまったく他人の気持ちを尊重しないの。	He has absolutely no respect for other people's feelings.
3770	小屋	こや	noun	hut; cabin; shed	その小屋には誰も住んでないように見えた。	The cottage looked as if nobody were living in it.
3771	帰還	きかん	noun	return (home); repatriation	そのうち３機はまだ帰還の報告はない。	Three of the planes have not yet reported home.
3772	幽霊	ゆうれい	noun	ghost; specter; spectre	幽霊が存在することを証明するのは難しい。	It is difficult to prove that ghosts exist.
3773	手数料	てすうりょう	noun	(handling) fee; charge (e.g. for a cancellation); commission	手数料は３パーセントかかります。	We charge a commission of 3%.
3774	抜く	ぬく	verb	to pull out; to draw out; to extract	私は体重を減らすために昼食を抜きはじめた。	I have started skipping lunch with a view to losing weight.
3775	救い	すくい	noun	help; rescue; aid	その会社はまた赤字になった。救いようがない。	The company once again went into the red. It is beyond saving.
3776	曖昧	あいまい	na-adjective	vague; ambiguous; unclear	彼はまた曖昧な事を言うかも知れない。	He may well just say something ambiguous again.
3777	条約	じょうやく	noun	treaty; pact; convention	条約が無視されたときに、戦争が始まった。	War broke out when the treaty was ignored.
3778	極端	きょくたん	noun	extreme; extremity	彼は教育の面では極端な意見を持っている。	He holds an extreme opinion on education.
3779	熱心	ねっしん	na-adjective	zealous; enthusiastic; ardent	彼女は若さと熱心さのおかげで仕事を得た。	She got the job by virtue of her youth and enthusiasm.
