rank	word	reading	part_of_speech	meaning	example	translation
3732	誇る	ほこる	verb	to boast of; to be proud of; to take pride in	あんなに長所が多いのに彼女は誇らなかった。	With all her merits she was not proud.
3733	貧困	ひんこん	noun	poverty; penury; need	人々は貧困に苦しんだ。	People were ground down by poverty.
3734	賃金	ちんぎん	noun	wages; pay	最低賃金はこのところほとんど変わっていません。	The minimum wage has hardly budged as of late.
3735	賢い	かしこい	i-adjective	wise; clever; smart	彼女はとても美しい。その上、とても賢い。	She is very beautiful, and what is more, very wise.
3736	軌道	きどう	noun	orbit; trajectory	ロケットは月を回る軌道に乗っている。	The rocket is in orbit around the moon.
3737	農家	のうか	noun	farmer; farming family	「ヘイ、ウィリー」農家は大声で叫んだ。	Hey, Willie, the farmer shouted out.
3738	追放	ついほう	noun	exile; banishment; eviction	汚職政治家を追放せよ。	Down with corrupt politicians.
3739	還元	かんげん	noun	restoration; return	ゲイツ会長、広告収入をユーザーに還元する意向表明。	Bill Gates announces intent to return advertising revenue to the users.
3740	都会	とかい	noun	city	彼は都会のペースにまだ慣れきっていない。	He's never quite adjusted to the pace of the city.
3741	長時間	ちょうじかん	noun	long time; several hours; long spell	彼らはその計画について長時間話し合った。	They talked over the plan for hours.
3742	あちこち	あちこち	pronoun	here and there; various places; all around	ヨーロッパをあちらこちら旅行した。	I traveled about Europe.
3743	のんびり	のんびり	adverb	at leisure; in a relaxed manner; in a carefree manner	しばらく座ってのんびりしていってください。	Sit down and take it easy for a while.
3744	まもなく	まもなく	adverb	soon; shortly; before long	飛行機はまもなく見えなくなった。	The airplane soon went out of sight.
3745	めんどくさい	めんどくさい	i-adjective	bothersome; tiresome; bother to do	そこまで歩いて行くのはめんどうくさい。	It's too much trouble to walk there.
3746	カウンター	カウンター	noun	counter; counting device	このカウンターで支払ってください。	Please pay at this counter.
3747	グラフ	グラフ	noun	graph; chart; diagram	コンピューターを使えば数字やグラフを扱うときに多くの時間と労力が省ける。	Computers will save you much time and energy when you deal with figures and graphs.
3748	ドロップ	ドロップ	noun	drop (candy)	せき止めのドロップはありますか。	Do you have cough drops?
3749	ラッシュ	ラッシュ	noun	rush (of people or activity)	彼女はラッシュを避けるために早く出発した。	She started early in order to avoid the rush hour.
3750	レッスン	レッスン	noun	lesson	私のピアノレッスンの値段は、ピアノの使用料を含んでいます。	The price of my piano lessons includes the use of the piano.
3751	一見	いっけん	noun	look; glimpse; glance	その一見真実らしいことは実は嘘だった。	The apparent truth was really a lie.
3752	中国人	ちゅうごくじん	noun	Chinese person	彼らは日本人ですか、それとも中国人ですか。	Are they Japanese or Chinese?
3753	例え	たとえ	noun	example	たとえどんなことがあってもあきらめません。	No matter what happens, I won't give up.
3754	倫理	りんり	noun	ethics; morals	美の認識は倫理の検査となり得る。	The perception of beauty is a moral test.
3755	健全	けんぜん	na-adjective	healthy; sound; wholesome	彼女はその健全な投資から利益を得た。	She benefited from the sound investment.
3756	収容	しゅうよう	noun	accommodation; taking in; receiving	このホールには５０００人収容できる。	This hall can hold 5,000 people.
3757	合わせる	あわせる	verb	to match (rhythm, speed, etc.)	ピントだけ合わせてください。	Please just focus it.
3758	唇	くちびる	noun	lip; lips	物言えば唇寒し・馬鹿ほど言いたがる。	He knows most who speaks least.
3759	売り上げ	うりあげ	noun	amount sold; sales; proceeds	南部の売り上げは４７パーセント増加した。	In the southern region, sales were up 47 percent.
3760	大衆	たいしゅう	noun	general public; the masses	彼らの小さな抗議が大衆デモに発展した。	Their small protest triggered a mass demonstration.
3761	学部	がくぶ	noun	faculty (of a university); school; college	学部の選択で迷った。	He was at a loss as to which faculty to choose.
3762	宿泊	しゅくはく	noun	accommodation; lodging	そのホテルは５００人宿泊できる。	The hotel can accommodate 500 guests.
3763	岸	きし	noun	bank; coast; shore	ボートは岸へ打ち上げられた。	The boat was cast ashore.
3764	必ずしも	かならずしも	adverb	(not) always; (not) necessarily; (not) entirely	この仕事は必ずしもやさしくない。	This work is not necessarily easy.
3765	悲惨	ひさん	na-adjective	disastrous; tragic; miserable	彼女は悲惨な死に方をした。	She died a miserable death.
3766	手軽	てがる	na-adjective	easy; simple; informal	年来の経済病には手軽にきく万能薬などありません。	There is no easy cure-all for old economic ills.
3767	提携	ていけい	noun	cooperation; tie-up; joint business	提携しましょう。	Let's join hand in hand.
3768	敷地	しきち	noun	site; plot; lot	学校の敷地はこの垣根まで続いている。	The school grounds extend as far as this fence.
3769	景色	けしき	noun	scenery; scene; landscape	なんて素晴らしい景色でしょう。	What a fine view!
3770	有名人	ゆうめいじん	noun	celebrity; famous person; public figure	多数の有名人がその動きを後援している。	Many famous people are behind the movement.
3771	本店	ほんてん	noun	head office; main office; main store	このタイプのセーターはただ今、全部品切れでございます。東京の本店から取り寄せましょう。	All sweaters of this type are out of stock now. We'll order them from the main store in Tokyo.
3772	株主	かぶぬし	noun	shareholder; stockholder	株主は同社の急速な海外での事業展開を懸念した。	Shareholders were concerned about the company's swift expansion overseas.
3773	株価	かぶか	noun	stock prices	昨日あの会社の株価が暴落した。	That company's stock price fell yesterday.
3774	演説	えんぜつ	noun	speech; address	彼の演説は、たいへんまずかった。	His speech was very poor.
3775	生じる	しょうじる	verb	to produce; to yield; to cause	戦後大きな変化が生じた。	A great change has come about after the war.
3776	用品	ようひん	noun	articles; supplies (e.g. office supplies); things (for)	この店は紳士用品を扱っている。	This shop carries men's clothing.
3777	真相	しんそう	noun	truth; real situation	昨日になってようやく真相を知りました。	Not until yesterday did I know the truth.
3778	短期	たんき	adjective	short-term	短期契約社員達は予告なしに解雇された。	The short term contract employees were dismissed without notice.
3779	花嫁	はなよめ	noun	bride	花嫁が突然笑った。	The bride suddenly laughed.
3780	蓋	ふた	noun	cover; lid; cap	蓋が開けられないんです。	I cannot get the lid off.
3781	表す	あらわす	verb	to represent; to signify; to stand for	正義が行動によって表される。	Justice is expressed through actions.
3782	覚える	おぼえる	verb	to memorize; to memorise; to commit to memory	こんな風に覚えていて下さってありがとう。	You were thoughtful to remember me in this way.
3783	観点	かんてん	noun	point of view; viewpoint; standpoint	いろいろな観点からその問題を検討できる。	We can consider the problem from several standpoints.
3784	訪れる	おとずれる	verb	to visit; to call on	もう一度イギリスを訪れたいと思っている。	I am anxious to visit Britain once again.
3785	踊る	おどる	verb	to dance (orig. a hopping dance)	歌ったり踊ったりしましょう。	Let's sing and dance.
3786	追跡	ついせき	noun	chase; pursuit; tracking	彼らは泥棒を追跡している。	They are pursuing the robber.
3787	開ける	あける	verb	to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock	ドアが突然マイクによってあけられました。	The door was suddenly opened by Mike.
3788	願う	ねがう	verb	to desire; to wish; to hope	私は彼らの幸福を心から願っています。	I sincerely hope for their happiness.
3789	髪型	かみがた	noun	hair style; coiffure; hairdo	彼の髪型について一言した。	I remarked on his hair style.
3790	つまらない	つまらない	i-adjective	dull; uninteresting; boring	あの新しい映画は、つまらんかった。	That new movie was a bummer.
3791	むら	むら	noun	unevenness (of colour, paint, etc.); irregularity; nonuniformity	赤白まだらのタオルを一本ください。	A red and spotted white towel, please.
3792	ようこそ	ようこそ	interjection	welcome	みなさま。ようこそご搭乗下さいました。	Ladies and gentlemen, welcome aboard.
3793	エジプト	エジプト	noun	Egypt	私はいつかエジプトに行きたい。	I wish to visit Egypt someday.
3794	カレンダー	カレンダー	noun	calendar	このカレンダーには美しい写真が、たくさんある。	The calendar has many pretty pictures.
3795	キャッチ	キャッチ	noun	catch; catching; obtaining (e.g. information)	私はいまだに高く上げたバトンをうまくキャッチできない。	I am still clumsy catching batons thrown high up.
3796	サラリーマン	サラリーマン	noun	office worker; company employee; company man	彼は普通のサラリーマンだ。	He's just an ordinary office worker.
3797	シカゴ	シカゴ	noun	Chicago	シカゴに２ヶ月以上滞在した。	I stayed in Chicago over two months.
3798	テロリスト	テロリスト	noun	terrorist	王はテロリストに襲われた。	The King was assaulted by terrorists.
3799	フォード	フォード	noun	ford	私のおじはフォードに乗っている。	My uncle drives a Ford.
3800	ユーロ	ユーロ	noun	euro (currency)	３０ユーロになります。	This will cost €30.
3801	三つ	みっつ	number	three	ボーイさん、コーヒー３つください。	Waiter, three coffees, please.
3802	上陸	じょうりく	noun	landing; going ashore; disembarkation	台風が関東地方に上陸した。	The typhoon struck the Kanto district.
3803	代替	だいたい	noun	substitution	代替案を現在検討中です。	An option is now under consideration.
3804	便秘	べんぴ	noun	constipation	慢性的な便秘で苦しんでいます。	I'm suffering from chronic constipation.
3805	先月	せんげつ	noun	last month	その新しいスーパーは先月開店した。	The new supermarket was opened last month.
3806	刑	けい	noun	penalty; sentence; punishment	被告は懲役１０年の刑を宣告された。	The accused was condemned to ten years in prison.
3807	半ば	なかば	noun	middle; halfway; midway	始めよければ半ば成功。	Well begun is half done.
3808	回る	まわる	verb	to turn; to rotate; to revolve	母はいつも忙しく動きまわっている。	My mother is always on the go.
3809	国産	こくさん	adjective	domestically produced; domestic; Japanese-made	しかし、国産ワインといっても、国内で瓶詰めされたものは全て国産ワインとなります。	Having said 'domestic wine', anything bottled domestically is deemed to be domestic wine.
3810	基づく	もとづく	verb	to be based (on); to be founded (on); to be grounded (on)	彼女の議論は事実に基づいていなかった。	Her argument was not based on facts.
3811	堂々	どうどう	adverb	magnificent; grand; impressive	堂々としなさい。	Walk tall, son.
3812	婚約	こんやく	noun	engagement; betrothal	私の息子は、彼の秘書と婚約している。	My son is engaged to his secretary.
3813	寮	りょう	noun	hostel; dormitory	私の大学には寮があります。	My university has a dorm.
3814	年末	ねんまつ	noun	end-of-year; year-end	年末は猫の手も借りたいほど忙しくなる。	We become very shorthanded at the end of the year.
3815	幼い	おさない	i-adjective	very young; little	彼の考えはとても幼い。	His way of thinking is very childish.
3816	推定	すいてい	noun	presumption; assumption	彼女は３０歳過ぎだと推定する。	I guess that she is over thirty.
3817	暴行	ぼうこう	noun	assault; outrage; act of violence	警官による暴行事件はあやうく暴動に火をつけるところでした。	The police brutality incidents nearly set off a riot.
3818	沿い	ぞい	suffix	along (a river, coast, railway, etc.); on (e.g. a street)	彼は海岸沿いに歩いた。	He walked along the shore.
3819	洋服	ようふく	noun	Western-style clothes (cf. traditional Japanese clothes)	この洋服は決して値段は安くない。	This suit is anything but cheap.
3820	無断	むだん	noun	absence of permission; lack of permission	無断キャンセルにはほとほと困っています。	These cancellations without notice are a real pain.
3821	眠り	ねむり	noun	sleep; sleeping	ときどき死は眠りにたとえられる。	People sometimes compare death to sleep.
3822	足元	あしもと	noun	at one's feet; underfoot; one's step (as in "watch your step")	足下に注意して下さい。	Watch your step.
3823	鋼	はがね	noun	steel	この鋼は錆びない。	This steel is stainless.
3824	順調	じゅんちょう	na-adjective	favourable; favorable; doing well	すべて順調にいっていらっしゃることでしょう。	You must be doing wonderfully in everything.
3825	飾り	かざり	noun	decoration; ornament; trimmings	それは飾りにすぎない。	It is merely an ornament.
3826	麻薬	まやく	noun	narcotic; drug; dope	多くの国には、麻薬に対する厳しい法律がある。	A number of countries have strict laws against drugs.
3827	いつの間にか	いつのまにか	adverb	before one knows; before one becomes aware of; unnoticed	何時の間にか暗くなった。	It became dark before I knew it.
3828	じっくり	じっくり	adverb	(slowly and) carefully; without haste; thoroughly	医師は難しい手術についてじっくり考えた。	The doctor contemplated the difficult operation.
3829	そういった	そういった	expression	like that; this type	私は、そういった音はすべて我慢できない。	I cannot put up with all that noise.
3830	エラー	エラー	noun	error	ｍｅｄｉａ　ｐｌａｙｅｒで音楽を聞こうとしてもエラーが出てファイルを再生できません。	When I try to listen to music with media player there's an error and I can't play the file.
3831	コマンド	コマンド	noun	command	下記のｑｕｉｔコマンドを使うとアプリケーションを終了させることが出来ます。	If you use the quit command noted below, you can make the application exit.
3832	ボーイ	ボーイ	noun	boy	ボーイさん、コーヒー３つください。	Waiter, three coffees, please.
3833	乗車	じょうしゃ	noun	boarding (a train, bus, etc.); getting into (e.g. a taxi)	ご乗車ありがとうございます。	Welcome aboard!
3834	仏教	ぶっきょう	noun	Buddhism	我々は仏教を信仰している。	We believe in Buddhism.
3835	令	れい	noun	command; order; dictation	初めての奴隷制度禁止令は１９世紀半ばに行われた。	The first prohibition of slavery was in the mid-nineteenth century.
3836	信者	しんじゃ	noun	believer; adherent; devotee	彼は最近改宗したカトリック信者です。	He is a recent convert to Catholicism.
3837	免疫	めんえき	noun	immunity; immunization; immunisation	今ではみんな天然痘には免疫になっている。	Everybody is immune to smallpox nowadays.
3838	典型	てんけい	noun	type; pattern; model	彼はまさに英国紳士の典型だ。	He is certainly a model English gentleman.
3839	原子	げんし	noun	atom	水素の原子番号は１である。	The atomic number for hydrogen is 1.
3840	受け入れる	うけいれる	verb	to accept; to receive; to agree	彼の意見は受け入れられなかった。	His opinion was not accepted.
3841	国土	こくど	noun	country; territory; domain	国土の８割近くが山です。	Nearly 80 percent of the land is mountains.
3842	外側	そとがわ	noun	exterior; outside; outer	そのお城の外側は白く塗られていた。	The outside of the castle was painted white.
3843	大地	だいち	noun	earth; ground; the solid earth	地震が大地を揺すった。	The earthquake shook the ground.
3844	大学院	だいがくいん	noun	graduate school	後藤教授が大学院の研究を指導してくださった。	Professor Goto directed my graduate work.
3845	幼児	ようじ	noun	young child; toddler	幼児は母親が育ててくれることを信じている。	The infant has faith in his mother taking care of him.
3846	引き上げ	ひきあげ	noun	pulling up; drawing up; salvage	関税引き上げの提案国はお互いに反目しています。	Proponents of increased import duties are at odds with each other.
3847	循環	じゅんかん	noun	circulation; rotation; cycle	きついバンドは血液の循環を妨げる。	A tight belt will interfere with circulation of the blood.
3848	手伝い	てつだい	noun	helper; assistant	彼はわざわざ私の手伝いをしてくれた。	He went out of his way to help me.
3849	救出	きゅうしゅつ	noun	rescue; extricate; reclaim	救出されてはじめて、彼女は食べた。	She did not eat anything until she was rescued.
3850	杉	すぎ	noun	Japanese cedar (Cryptomeria japonica)	昔そこにはスギの大木があった。	There used to be a large cedar tree there.
3851	滝	たき	noun	waterfall	そこですばらしい滝を見た。	I saw a wonderful fall there.
3852	特急	とっきゅう	noun	limited express (train for which a limited-express ticket is required)	特急のホームは何番ですか。	What's the track for the limited express?
3853	直す	なおす	verb	to repair; to mend; to fix	なおして下さい。	Can you get it repaired?
3854	知恵	ちえ	noun	wisdom; wit; sagacity	知恵は経験なしには得られない。	Wisdom cannot come without experience.
3855	知能	ちのう	noun	intelligence; intellect; brains	普通の知能があればそれはわかるはずだ。	A person with average intelligence would understand that.
3856	砂漠	さばく	noun	desert	これはその砂漠で見つけられた動物だ。	This is an animal found in that desert.
3857	祈り	いのり	noun	prayer; supplication	彼女の祈りから何も起こらなかった。	Nothing has resulted from her prayer.
3858	祖母	そぼ	noun	grandmother	彼は祖母によって育てられた。	He was brought up by her grandmother.
3859	絡み	からみ	noun	linkage; entanglement; involvement	宗教がらみの裁判で、野心的な弁護士は教団の指導者の代理をする。	In the religious-cult trial, the ambitious lawyer will represent the cult leader.
3860	考察	こうさつ	noun	consideration; inquiry; enquiry	動機についてはまったく考察されていない。	No speculation has taken place concerning the motives.
3861	良心	りょうしん	noun	conscience	私の良心にやましいところはありません。	My conscience is clear.
3862	芽	め	noun	sprout; shoot; bud	今日新しい葉が芽を出した。	Today the new leaf sent out a bud.
3863	著	ちょ	noun	(written) work; book	階層問題に対する、消費社会論の著である。	It is a literary work confronting the class problem of a consumer society.
3864	葬儀	そうぎ	noun	funeral; funeral service	私は彼の葬儀に参加した。	I attended his funeral.
3865	親切	しんせつ	na-adjective	kind; gentle; considerate	質問に対しては親切に答えて下さった。	He kindly answered questions.
3866	賞金	しょうきん	noun	prize money; monetary award; reward	協力者に対しては賞金が出ます。	You'll get a reward for your cooperation.
3867	贈り物	おくりもの	noun	present; gift	すばらしい贈り物をありがとう。	Thank you for the wonderful gift.
3868	運ぶ	はこぶ	verb	to carry; to transport; to move	そのケースを運ばせてください。	Let me relieve you of that case.
3869	金銭	きんせん	noun	money; cash	私の父は私の金銭的問題を助けてくれた。	My father helped me out of my financial difficulties.
3870	銀河	ぎんが	noun	Milky Way	宇宙にはたくさんの銀河がある。	There are many galaxies in the universe.
3871	食材	しょくざい	noun	foodstuff; ingredient	来る途中、お店に寄って食材を買って来たんです。備えあれば憂いなし、です。	On the way we dropped in at the shops and bought foodstuffs. They say well prepared means no worries.
3872	高額	こうがく	noun	large sum (of money); large amount	彼女は高額の修理費用を予算に計上しなかった。	She didn't factor the high cost of repairs into the budget.
3873	やさしい	やさしい	i-adjective	easy; plain; simple	やさしい言葉で説明してください。	Explain it in plain terms, please.
3874	やりとり	やりとり	noun	giving and taking; exchange (of letters); arguing back and forth	両親とは手紙のやりとりを続けています。	I keep in touch with my parents by mail.
3875	カート	カート	noun	(shopping) cart	手荷物用のカートはどこにありますか。	Where are the luggage carts?
3876	ストア	ストア	noun	store; shop	どうぞわたしにＸＹＺストアへ行く道を教えて下さい。	Please tell me the way to the XYZ store.
3877	ハム	ハム	noun	ham (cured pig meat)	ハムを１きれ薄く切ってくれませんか。	Would you slice me a piece of ham, please?
3878	一家	いっか	noun	a family; a household; a home	彼女の一家はブラジルへ移住して行った。	Her family moved to Brazil.
3879	丈	たけ	noun	height; stature	彼は働いて稼ぐだけみな貯金する。	He saves what he earns.
3880	何者	なにもの	noun	who; what kind of person	向こうにいるあの男は、いったい何者なんだ？	Who in the world is the fellow over there?
3881	入り口	いりぐち	noun	entrance; entry; gate	リンダ・ウッドが入口に立っていました。	Linda Wood was standing at the door.
3882	公平	こうへい	noun	fairness; impartiality; justice	これらの人々を公平に扱わなくてはならない。	We must deal fairly with these people.
3883	切断	せつだん	noun	cutting; severance; section	強風のため電線が数箇所で切断された。	The strong wind cut the electric wires in several places.
3884	前年	ぜんねん	noun	the preceding year; the previous year; last year	前年の総所得金額はいくらでしょうか。	What was the gross income in the previous calendar year?
3885	区域	くいき	noun	area; zone; district	府県はフランスや日本の行政区域である。	Prefectures are governmental divisions of France and Japan.
3886	右手	みぎて	noun	right hand	質問があれば右手を挙げて下さい。	If you have a question, please raise your right hand.
3887	否	ひ	noun	no; the noes	いや、１、２ヶ月とにかく頑張ってみましょう。	No, we'll be in fighting shape in just a month or two.
3888	大使館	たいしかん	noun	embassy	彼はアメリカ大使館に出入りしている。	He has access to the American Embassy.
3889	尺	しゃく	noun	shaku (unit of distance approximately equal to 30.3 cm)	寸を与えれば尺を望む。	Give him an inch and he will take a yard.
3890	平野	へいや	noun	plain; open field	川はうねるように平野を流れている。	The river meanders across the plain.
3891	年上	としうえ	noun	older; senior	そしてトニーは一番年上でした。	And Tony was the oldest.
3892	手元	てもと	adverb	at hand; on hand; nearby	手元に１００万円あるとしてみよう。	Let's make believe we have one million yen hand.
3893	承知	しょうち	noun	knowledge; awareness	君に行ってもらわねば承知しない。	I'm adamant that you should go.
3894	暖かい	あたたかい	i-adjective	warm; mild; (pleasantly) hot	ますます暖かくなってきています。	It is getting warmer and warmer.
3895	暴露	ばくろ	noun	disclosure; exposure; revelation	彼らの秘密が暴露された。	Their secret was laid bare.
3896	業績	ぎょうせき	noun	achievement; performance; results	素晴らしい業績に拍手を送ります。	Kudos for your outstanding achievement!
3897	歩行	ほこう	noun	walking; walk	長距離の歩行には慣れていない。	I am not accustomed to walking long distances.
3898	水準	すいじゅん	noun	level; standard	彼は水準を満たしていなかった。	He didn't meet the standards.
3899	泥棒	どろぼう	noun	thief; burglar; robber	そんなことするなんて、彼は泥棒に他ならない。	He is nothing less than a thief to do such a thing.
3900	注	ちゅう	noun	annotation; explanatory note; comment	このテキストにはたくさんの注がついている。	This textbook has a lot of notes.
3901	活発	かっぱつ	na-adjective	lively; active; vigorous	うちの母は活発です。	My mother is active.
3902	減る	へる	verb	to decrease (in size or number); to diminish; to abate	彼の観客は最近減ってきている。	His audience is falling off these days.
3903	火星	かせい	noun	Mars (planet)	火星には生物がいないといわれている。	It is said that there is no life on Mars.
3904	爆笑	ばくしょう	noun	roar of laughter (from multiple people); burst of laughter; uproarious laughter	彼の冗談はクラス全員を爆笑させた。	His joke made all the class burst into laughter.
3905	独身	どくしん	adjective	unmarried; single	彼女は生涯独身であった。	She remained single all her life.
3906	瓶	びん	noun	bottle; jar; decanter	ビンにはほとんどミルクが残っていません。	There is little milk left in the bottle.
3907	生き方	いきかた	noun	way of life; how to live	彼は彼女の生き方がうらやましかった。	He was envious of her way of living.
3908	痴漢	ちかん	noun	molester; groper; masher	痴漢は本当に女の敵。絶対に許さないです。	A molester is truly the enemy of women. I'll never let them get away with it.
3909	社内	しゃない	adjective	within a company; in-house	社内はそのニュースのことで持ちきりだった。	They talked about nothing but the news in the company.
3910	空き	あき	noun	space; room; gap	わかった。機械が空きしだい送る。	OK. I'll send it out as soon as a machine is available.
3911	節約	せつやく	noun	saving (e.g. time, money, resources); economising; economizing	コンピューターで時間が多く節約できます。	Computers will save you a lot of time.
3912	紅茶	こうちゃ	noun	black tea	そこで飲んだ紅茶はなかなかおいしかった。	The tea we had there was excellent.
3913	育ち	そだち	noun	growth; breeding	ロス育ちかと思いました。	I thought you were raised in L.A.
3914	苦痛	くつう	noun	pain; agony; suffering	この苦痛には我慢できない。	The pain is killing me.
3915	蛇	へび	noun	snake	その大きなヘビを見て彼はとても驚いた。	He was very much frightened at the sight of the big snake.
3916	見学	けんがく	noun	inspection; study by observation; field trip	出張を利用してパリ見学をした。	I took advantage of my business trip to see the sights of Paris.
3917	護衛	ごえい	noun	guard; convoy; escort	後になると王の護衛がサテライトと呼ばれた。	Later the personal guards of kings were called satellites.
3918	酸化	さんか	noun	oxidation; oxidization	アルコールが酸化するとアルデヒドとなりますが、アルデヒドが酸化するとどうなりますか。	If you oxidise an alcohol you get an aldehyde but what do you get if you oxidise an aldehyde?
3919	露	つゆ	noun	dew	私は露に濡れていた。	I was wet with dew.
3920	頻度	ひんど	noun	frequency (of occurrence)	彼女の論文に提出された統計データは、その頻度を見積もるのに大いに役立つ。	The statistical data presented in her paper is of great use for us in estimating the frequency of the movement.
3921	飲料	いんりょう	noun	beverage; drink	不純な飲料水は病気の媒体となりうる。	Impure drinking water can be a carrier of diseases.
3922	ただいま	ただいま	interjection	I'm home!; I'm back!; it's me!	田辺先生はただいま外出しております。	Mr Tanabe is out now.
3923	インパクト	インパクト	noun	impact (on); (strong) impression; effect	エメット理論が生物学に与えたインパクトに関しては扱わない。	It is not my purpose to investigate the impact of Emmet's theory on biology.
3924	エンディング	エンディング	noun	ending	映画「ファイトクラブ」のエンディングには驚かされた。	The movie "Fight Club" has a surprise ending.
3925	オート	オート	noun	auto; automatic	ホワイトバランスをオートにした場合と白いコピー用紙でプリセットした場合の比較です。	It's a comparison of setting the white balance to "auto" versus presetting it with white copy paper.
3926	ドラッグ	ドラッグ	noun	drug; medicine	この先ネタバレ♪大丈夫な方はドラッグ（反転）して読んでね♪	Spoilers ahead! If you don't mind that then read after highlighting (colour inverting).
3927	ネズミ	ネズミ	noun	mouse; rat	ネズミはどんどん繁殖する。	Rats breed rapidly.
3928	マイナー	マイナー	na-adjective	minor; small; unimportant	まだまだマイナーだが、遠からず近隣に出荷されるだろう。	It's still minor league but in the not so distant future they'll be coming to a place near you.
3929	マニュアル	マニュアル	noun	(instruction) manual	パソコンのマニュアルを書ける人を探しています。	I am seeking a person who can write a personal computer manual.
3930	ミュージカル	ミュージカル	noun	musical	そのミュージカルはとても成功とは呼べなかった。	The musical was far from being a success.
3931	上場	じょうじょう	noun	listing (on the stock exchange, etc.); taking (a company) public	同社は東証に上場している。	The company is listed on the Tokyo Stock Exchange.
3932	仕上げ	しあげ	noun	finish; finishing; finishing touches	今、最後の仕上げをするところです。	I'm adding the finishing touches now.
3933	体内	たいない	noun	interior of the body	患者の体内で再び脈打ち始める。	In the patient's body the pulse began beating again.
3934	個室	こしつ	noun	single (room); room for one; one's own room	個室ですか、２人部屋ですか。	Single or double room?
3935	先進	せんしん	adjective	advanced; developed	先進７カ国の首脳は２０００年、沖縄に集まる。	The leaders of seven industrial democracies will meet in Okinawa in 2000.
3936	勧誘	かんゆう	noun	invitation; solicitation; canvassing	部活の勧誘にももう慣れた。	I'm already used to invitations to participate in club activities.
3937	受け取り	うけとり	noun	receiving; receipt	手荷物受取所で待っています。	I will be waiting for you at baggage claim.
3938	古典	こてん	noun	classic (work, esp. book); the classics	古典を読むことは容易ではない。	Reading classics is not easy.
3939	叩く	たたく	verb	to strike; to hit; to beat	あの少年は、わざと彼女の子供をたたいた。	That boy hit her child on purpose.
3940	回す	まわす	verb	to turn; to rotate; to spin	塩を使い終わったら、まわしてください。	If you are done with the salt, please pass it to me.
3941	基盤	きばん	noun	base; basis; foundation	自由諸国の基盤は民主主義である。	The foundation of free nations is democracy.
3942	墜落	ついらく	noun	fall; crash (of an aircraft)	その飛行機は突然墜落した。	The plane crashed suddenly.
3943	富	とみ	noun	riches; wealth; fortune	富があっても、彼は満足していない。	Despite his riches, he's not contented.
3944	常	つね	noun	usual state of things	その時代の人の常として彼女もまた迷信深かった。	She was superstitious, as the people of that period usually were.
3945	年寄り	としより	noun	old person; elderly person; senior citizen	私の父はとても年寄りなので働けません。	My father is too old to work.
3946	広がり	ひろがり	noun	spread; span; expanse	外国人を悩ますもう一つの、多くの日本人のもつ傾向は、「すべての」「あらゆる」というような言葉を使ったり、仄めかしたりして、あまりにも一般的であり、あまりにも広がりのある表現をする点にある。	Another tendency of many Japanese speakers that bothers foreigners is to make statements that are too general and too broad by using or implying words like "all" and "every".
3947	役立つ	やくだつ	verb	to be useful; to be helpful; to serve the purpose	彼のライターは１０年も役立ってきた。	His lighter has done ten years' service.
3948	後方	こうほう	noun	rear; back; behind	後方の敵は現状あくまで退路を断つだけの存在。	The enemy behind us presently exists solely to cut off our retreat.
3949	心から	こころから	adverb	from the bottom of one's heart; heartily; sincerely	本当に心からこんなことを思った。	This is really from my heart.
3950	戻す	もどす	verb	to put back; to return; to give back	済んだら戻してください。	Bring it back when you are through.
3951	支給	しきゅう	noun	provision; supply; payment	この学校は、生徒に教科書を支給します。	This school supplies students with textbooks.
3952	斜め	ななめ	adjective	slanting; tilted; sloping	彼女はご機嫌斜めだ。	She is in a mood.
3953	日本一	にほんいち	noun	Japan's best; number one in Japan	そのビルは日本一高い建物です。	That building is the tallest in Japan.
3954	本能	ほんのう	noun	instinct	彼は闘争本能が強い。	He is possessed of a strong fighting instinct.
3955	欲望	よくぼう	noun	desire; appetite; lust	彼女は金に対して異常なほど欲望を持っていた。	She had an unnatural desire for money.
3956	注射	ちゅうしゃ	noun	injection; jab; shot	麻酔の注射をします。	I'll give you anaesthesia.
3957	渡す	わたす	verb	to ferry across (e.g. a river); to carry across; to traverse	新聞を読み終わったら渡してくれる？	Can I have the paper when you're finished with it?
3958	特有	とくゆう	adjective	characteristic (of); peculiar (to)	その変わった習慣はその地方特有のものだ。	The odd custom is peculiar to the region.
3959	祝日	しゅくじつ	noun	national holiday; public holiday	今日は祝日です。	We have a holiday today.
3960	経つ	たつ	verb	to pass (of time); to elapse	２、３日たってはじめてその知らせが届いた。	It was not until a few days later that the news arrived.
3961	統治	とうち	noun	rule; reign; government	スペインは昔フィリピン諸島統治していた。	Spain once governed the Philippine Islands.
3962	職務	しょくむ	noun	professional duties	彼は職務を与えられた。	He was assigned a task.
3963	肝心	かんじん	na-adjective	essential; important; crucial	落ち着きが肝心です。	We must keep calm.
3964	芝居	しばい	noun	play; drama	その芝居はとても面白かった。	The play was a lot of fun.
3965	行使	こうし	noun	use; exercise (of one's right, authority, power, etc.)	権利を行使する。	I exercise my rights.
3966	観戦	かんせん	noun	watching a (sports) game; spectating; observing (military operations)	私達はその試合を観戦して興奮した。	We were excited as we watched the game.
3967	警報	けいほう	noun	warning; alarm; alert	今、暴風雨警報がでてる。	A storm warning is out now.
