#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜べきではない	〜べきではない	N2	should not ~	Verb dictionary form + べきではない	Moral prohibition rather than a rule.	べきではない is moral; てはいけない is a rule.	<div class="ex"><div class="jp"><ruby>人<rt>ひと</rt></ruby>の<ruby>悪口<rt>わるぐち</rt></ruby>を<ruby>言<rt>い</rt></ruby>うべきではない。</div><div class="en">You should not speak ill of others.</div></div><div class="ex"><div class="jp">そんな<ruby>約束<rt>やくそく</rt></ruby>をするべきではなかった。</div><div class="en">You should not have made such a promise.</div></div><div class="ex"><div class="jp">あなたは<ruby>自分<rt>じぶん</rt></ruby>の<ruby>意見<rt>いけん</rt></ruby>に<ruby>固執<rt>こしつ</rt></ruby>すべきではない。</div><div class="en">You should not stick to your opinion.</div></div><div class="ex"><div class="jp">きみはそんなにタバコを<ruby>吸<rt>す</rt></ruby>うべきではない。</div><div class="en">You ought not to smoke so much.</div></div>	jlpt::N2
〜も〜ば〜も	〜も〜ば〜も	N2	both ~ and ~	Noun + も + ば-form + Noun + も	Lists two coordinated qualities or facts.	A parallel listing pattern, more formal than と.	<div class="ex"><div class="jp">いい<ruby>時<rt>とき</rt></ruby>もあれば、<ruby>悪<rt>わる</rt></ruby>い<ruby>時<rt>とき</rt></ruby>もある。</div><div class="en">There are good times and there are bad times.</div></div><div class="ex"><div class="jp">お<ruby>金<rt>かね</rt></ruby>もなければ、<ruby>時間<rt>じかん</rt></ruby>もない。</div><div class="en">I have neither money nor time.</div></div><div class="ex"><div class="jp"><ruby>高価<rt>こうか</rt></ruby>なものもあれば、<ruby>大変<rt>たいへん</rt></ruby><ruby>安<rt>やす</rt></ruby>いものもある。</div><div class="en">Some are expensive, and others are very cheap.</div></div><div class="ex"><div class="jp">バスで<ruby>行<rt>い</rt></ruby>く<ruby>時<rt>とき</rt></ruby>もあれば<ruby>車<rt>くるま</rt></ruby>で<ruby>行<rt>い</rt></ruby>く<ruby>時<rt>とき</rt></ruby>もある。</div><div class="en">Sometimes I go by bus and sometimes by car.</div></div>	jlpt::N2
〜ものがある	〜ものがある	N2	there is something ~ about it	Plain form / な-adjective な + ものがある	The speaker senses a quality worth remarking on.	ものがある senses a quality; ことがある reports occurrence.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>の<ruby>演奏<rt>えんそう</rt></ruby>には<ruby>心<rt>こころ</rt></ruby>を<ruby>打<rt>う</rt></ruby>つものがある。</div><div class="en">There is something moving about his performance.</div></div><div class="ex"><div class="jp">その<ruby>考<rt>かんが</rt></ruby>えには<ruby>納得<rt>なっとく</rt></ruby>できないものがある。</div><div class="en">There is something unconvincing about that idea.</div></div><div class="ex"><div class="jp"><ruby>問題<rt>もんだい</rt></ruby>の<ruby>中<rt>なか</rt></ruby>にはゴリラに<ruby>不公平<rt>ふこうへい</rt></ruby>なものがある。</div><div class="en">Some test questions are unfair to gorillas.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>の<ruby>性格<rt>せいかく</rt></ruby>には<ruby>単<rt>たん</rt></ruby>なる<ruby>正直<rt>しょうじき</rt></ruby><ruby>以上<rt>いじょう</rt></ruby>のものがある。</div><div class="en">There is more in his character than simple honesty.</div></div>	jlpt::N2
〜ものの	〜ものの	N2	although ~	Plain form + ものの	Formal concession; the expected consequence does not follow.	ものの is written; けれども is spoken.	<div class="ex"><div class="jp"><ruby>買<rt>か</rt></ruby>ったものの、<ruby>一度<rt>いちど</rt></ruby>も<ruby>使<rt>つか</rt></ruby>っていない。</div><div class="en">Although I bought it, I have never used it.</div></div><div class="ex"><div class="jp"><ruby>約束<rt>やくそく</rt></ruby>はしたものの、<ruby>自信<rt>じしん</rt></ruby>がない。</div><div class="en">I made the promise, but I have no confidence.</div></div>	jlpt::N2
〜ようでは	〜ようでは	N2	if it&#x27;s the case that ~ (bad)	Plain form + ようでは	A negative outcome is expected from the situation.	ようでは predicts a bad outcome; なら is neutral.	<div class="ex"><div class="jp">そんなに<ruby>休<rt>やす</rt></ruby>むようでは、<ruby>合格<rt>ごうかく</rt></ruby>できない。</div><div class="en">If you keep taking time off like that, you won&#x27;t pass.</div></div><div class="ex"><div class="jp">この<ruby>程度<rt>ていど</rt></ruby>でつまずくようでは<ruby>困<rt>こま</rt></ruby>る。</div><div class="en">If you stumble at this level, that&#x27;s a problem.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>はあまり<ruby>疲<rt>つか</rt></ruby>れているようではありません。</div><div class="en">He does not seem to be very tired.</div></div><div class="ex"><div class="jp">この<ruby>論議<rt>ろんぎ</rt></ruby>はやめようではないか。</div><div class="en">Let&#x27;s put a stop to this discussion.</div></div>	jlpt::N2
〜わりに	〜わりに	N2	considering / for a ~	Plain form / Noun の + わりに	The result is out of proportion to what the standard suggests.	わりに weighs proportion; にしては compares to a standard.	<div class="ex"><div class="jp"><ruby>値段<rt>ねだん</rt></ruby>のわりにおいしい。</div><div class="en">It&#x27;s tasty for the price.</div></div><div class="ex"><div class="jp"><ruby>年<rt>とし</rt></ruby>のわりに<ruby>若<rt>わか</rt></ruby>く<ruby>見<rt>み</rt></ruby>える。</div><div class="en">He looks young for his age.</div></div>	jlpt::N2
〜をとわず	〜をとわず	N2	regardless of ~	Noun + を問わず	The distinction named does not matter.	を問わず dismisses distinctions; にかかわらず dismisses conditions.	<div class="ex"><div class="jp"><ruby>年齢<rt>ねんれい</rt></ruby>を<ruby>問<rt>と</rt></ruby>わず<ruby>参加<rt>さんか</rt></ruby>できます。</div><div class="en">Anyone can take part regardless of age.</div></div><div class="ex"><div class="jp"><ruby>昼夜<rt>ちゅうや</rt></ruby>を<ruby>問<rt>と</rt></ruby>わず<ruby>営業<rt>えいぎょう</rt></ruby>しています。</div><div class="en">We are open regardless of day or night.</div></div><div class="ex"><div class="jp"><ruby>年齢<rt>ねんれい</rt></ruby>を<ruby>問<rt>と</rt></ruby>わず<ruby>人々<rt>ひとびと</rt></ruby>はこの<ruby>歌<rt>うた</rt></ruby>が<ruby>好<rt>す</rt></ruby>きだ。</div><div class="en">People of all ages like this song.</div></div><div class="ex"><div class="jp">それは<ruby>今<rt>いま</rt></ruby>でも<ruby>男女<rt>だんじょ</rt></ruby>を<ruby>問<rt>と</rt></ruby>わず<ruby>愛読<rt>あいどく</rt></ruby>されている<ruby>本<rt>ほん</rt></ruby>です。</div><div class="en">It is, even now, a book loved by men and women alike.</div></div>	jlpt::N2
〜をめぐって	〜をめぐって	N2	concerning / surrounding ~ (dispute)	Noun + をめぐって	Marks a contested issue that people argue over.	をめぐって implies dispute; について is neutral.	<div class="ex"><div class="jp">その<ruby>計画<rt>けいかく</rt></ruby>をめぐって<ruby>議論<rt>ぎろん</rt></ruby>が<ruby>続<rt>つづ</rt></ruby>いている。</div><div class="en">Debate continues over that plan.</div></div><div class="ex"><div class="jp"><ruby>遺産<rt>いさん</rt></ruby>をめぐって<ruby>争<rt>あらそ</rt></ruby>いが<ruby>起<rt>お</rt></ruby>きた。</div><div class="en">A dispute arose over the inheritance.</div></div><div class="ex"><div class="jp"><ruby>委員<rt>いいん</rt></ruby><ruby>会<rt>かい</rt></ruby>はその<ruby>計画<rt>けいかく</rt></ruby>をめぐって<ruby>意見<rt>いけん</rt></ruby>が<ruby>分<rt>わ</rt></ruby>かれた。</div><div class="en">The committee was split over the project.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>の<ruby>死<rt>し</rt></ruby>をめぐってあるうわさが<ruby>広<rt>ひろ</rt></ruby>まっている。</div><div class="en">A rumor is abroad about his death.</div></div>	jlpt::N2
〜をもとに	〜をもとに	N2	based on ~	Noun + をもとに	Uses something as raw material or a model.	をもとに is source material; に基づいて is a governing basis.	<div class="ex"><div class="jp"><ruby>実話<rt>じつわ</rt></ruby>をもとに<ruby>作<rt>つく</rt></ruby>られた<ruby>映画<rt>えいが</rt></ruby>です。</div><div class="en">It is a film made based on a true story.</div></div><div class="ex"><div class="jp">アンケートをもとに<ruby>分析<rt>ぶんせき</rt></ruby>した。</div><div class="en">I analysed it based on the survey.</div></div><div class="ex"><div class="jp">この<ruby>映画<rt>えいが</rt></ruby>は<ruby>小説<rt>しょうせつ</rt></ruby>をもとにしている。</div><div class="en">This film is an adaptation of a novel.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>親譲<rt>おやゆず</rt></ruby>りの<ruby>財産<rt>ざいさん</rt></ruby>をもとにして<ruby>富<rt>とみ</rt></ruby>を<ruby>作<rt>つく</rt></ruby>った。</div><div class="en">He built on his father&#x27;s fortune.</div></div>	jlpt::N2
〜上で	〜<ruby>上<rt>うえ</rt></ruby>で	N2	after ~ing / upon	Verb た-form / Noun の + 上で	Do the first thing, then decide or act on that basis.	上で is a deliberate prerequisite; てから is mere sequence.	<div class="ex"><div class="jp">よく<ruby>考<rt>かんが</rt></ruby>えた<ruby>上<rt>うえ</rt></ruby>で、<ruby>返事<rt>へんじ</rt></ruby>をします。</div><div class="en">I will reply after thinking it over carefully.</div></div><div class="ex"><div class="jp"><ruby>確認<rt>かくにん</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>で、<ruby>手続<rt>てつづ</rt></ruby>きをしてください。</div><div class="en">Please proceed after confirming.</div></div>	jlpt::N2
〜上に	〜<ruby>上<rt>うえ</rt></ruby>に	N2	on top of / in addition to ~	Plain form / な-adjective な / Noun の + 上に	Both clauses point the same way, good or bad.	上に adds in the same direction; のに contrasts.	<div class="ex"><div class="jp">この<ruby>店<rt>みせ</rt></ruby>は<ruby>安<rt>やす</rt></ruby>い<ruby>上<rt>うえ</rt></ruby>に、おいしい。</div><div class="en">This shop is cheap, and on top of that, tasty.</div></div><div class="ex"><div class="jp"><ruby>道<rt>みち</rt></ruby>に<ruby>迷<rt>まよ</rt></ruby>った<ruby>上<rt>うえ</rt></ruby>に、<ruby>雨<rt>あめ</rt></ruby>も<ruby>降<rt>ふ</rt></ruby>ってきた。</div><div class="en">On top of getting lost, it started to rain.</div></div>	jlpt::N2
〜以上は	〜<ruby>以上<rt>いじょう</rt></ruby>は	N2	now that / since ~	Plain form + 以上は	Given the premise, a firm conclusion or duty follows.	以上は is formal; からには is slightly softer.	<div class="ex"><div class="jp"><ruby>引<rt>ひ</rt></ruby>き<ruby>受<rt>う</rt></ruby>けた<ruby>以上<rt>いじょう</rt></ruby>は、<ruby>最後<rt>さいご</rt></ruby>までやります。</div><div class="en">Now that I&#x27;ve taken it on, I&#x27;ll see it through.</div></div><div class="ex"><div class="jp"><ruby>学生<rt>がくせい</rt></ruby>である<ruby>以上<rt>いじょう</rt></ruby>、<ruby>勉強<rt>べんきょう</rt></ruby>すべきだ。</div><div class="en">As long as you are a student, you should study.</div></div>	jlpt::N2
〜向けに	〜<ruby>向<rt>む</rt></ruby>けに	N2	intended for ~	Noun + 向けに	Deliberately aimed at an audience or market.	向けに targets; 向きに suits.	<div class="ex"><div class="jp"><ruby>子<rt>こ</rt></ruby>ども<ruby>向<rt>む</rt></ruby>けに<ruby>書<rt>か</rt></ruby>かれた<ruby>本<rt>ほん</rt></ruby>です。</div><div class="en">It is a book written for children.</div></div><div class="ex"><div class="jp"><ruby>海外<rt>かいがい</rt></ruby><ruby>向<rt>む</rt></ruby>けに<ruby>製品<rt>せいひん</rt></ruby>を<ruby>作<rt>つく</rt></ruby>っている。</div><div class="en">We make products for overseas markets.</div></div>	jlpt::N2
〜末に	〜<ruby>末<rt>すえ</rt></ruby>に	N2	after ~, finally	Verb た-form / Noun の + 末に	A long effort reaching a conclusion, good or bad.	末に is neutral; あげく is negative.	<div class="ex"><div class="jp"><ruby>長<rt>なが</rt></ruby>い<ruby>議論<rt>ぎろん</rt></ruby>の<ruby>末<rt>すえ</rt></ruby>に、<ruby>結論<rt>けつろん</rt></ruby>が<ruby>出<rt>で</rt></ruby>た。</div><div class="en">After a long discussion, a conclusion was reached.</div></div><div class="ex"><div class="jp"><ruby>悩<rt>なや</rt></ruby>んだ<ruby>末<rt>すえ</rt></ruby>に、<ruby>留学<rt>りゅうがく</rt></ruby>を<ruby>決<rt>き</rt></ruby>めた。</div><div class="en">After much worry, I decided to study abroad.</div></div>	jlpt::N2
〜次第だ	〜<ruby>次第<rt>しだい</rt></ruby>だ	N2	depends on ~	Noun + 次第だ	The outcome rests entirely on the named factor.	次第だ depends; によって varies.	<div class="ex"><div class="jp"><ruby>成功<rt>せいこう</rt></ruby>するかどうかは<ruby>努力<rt>どりょく</rt></ruby><ruby>次第<rt>しだい</rt></ruby>だ。</div><div class="en">Whether you succeed depends on your effort.</div></div><div class="ex"><div class="jp">すべては<ruby>本人<rt>ほんにん</rt></ruby><ruby>次第<rt>しだい</rt></ruby>です。</div><div class="en">Everything depends on the person themselves.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>が<ruby>成功<rt>せいこう</rt></ruby>するかいなかは、<ruby>彼<rt>かれ</rt></ruby>の<ruby>健康<rt>けんこう</rt></ruby><ruby>次第<rt>しだい</rt></ruby>です。</div><div class="en">Whether he will succeed or not depends upon his health.</div></div><div class="ex"><div class="jp"><ruby>我々<rt>われわれ</rt></ruby>が<ruby>明日<rt>あした</rt></ruby><ruby>出発<rt>しゅっぱつ</rt></ruby>するかどうかは<ruby>天候<rt>てんこう</rt></ruby><ruby>次第<rt>しだい</rt></ruby>です。</div><div class="en">Our departure tomorrow is contingent on fair weather.</div></div>	jlpt::N2
〜次第で	〜<ruby>次第<rt>しだい</rt></ruby>で	N2	depending on ~	Noun + 次第で	The result varies with the named factor.	次第で is a decisive factor; によって is general variation.	<div class="ex"><div class="jp">やり<ruby>方<rt>かた</rt></ruby><ruby>次第<rt>しだい</rt></ruby>で<ruby>結果<rt>けっか</rt></ruby>が<ruby>変<rt>か</rt></ruby>わる。</div><div class="en">Results change depending on how you do it.</div></div><div class="ex"><div class="jp"><ruby>天気<rt>てんき</rt></ruby><ruby>次第<rt>しだい</rt></ruby>で<ruby>中止<rt>ちゅうし</rt></ruby>になります。</div><div class="en">It will be cancelled depending on the weather.</div></div>	jlpt::N2
〜あっての	〜あっての	N1	only possible because of ~	Noun + あっての + Noun	Without the first, the second could not exist.	あっての is a precondition; おかげで is gratitude.	<div class="ex"><div class="jp">お<ruby>客様<rt>きゃくさま</rt></ruby>あっての<ruby>商売<rt>しょうばい</rt></ruby>です。</div><div class="en">Business exists only because of customers.</div></div><div class="ex"><div class="jp"><ruby>努力<rt>どりょく</rt></ruby>あっての<ruby>成功<rt>せいこう</rt></ruby>だ。</div><div class="en">Success exists only because of effort.</div></div><div class="ex"><div class="jp"><ruby>命<rt>いのち</rt></ruby>あっての<ruby>物種<rt>ものだね</rt></ruby>。</div><div class="en">While there is life, there is hope.</div></div><div class="ex"><div class="jp">なんの<ruby>気<rt>き</rt></ruby>なしに<ruby>言<rt>い</rt></ruby>っただけで、<ruby>別<rt>べつ</rt></ruby>に<ruby>悪気<rt>わるぎ</rt></ruby>があってのことではありません。</div><div class="en">I just said so without thinking much about it. I didn&#x27;t mean anything serious.</div></div>	jlpt::N1
〜いかんによっては	〜いかんによっては	N1	depending on ~	Noun + いかんによっては	Very formal: the outcome hinges on the named factor.	いかん is bureaucratic; 次第 is ordinary formal.	<div class="ex"><div class="jp"><ruby>結果<rt>けっか</rt></ruby>のいかんによっては、<ruby>計画<rt>けいかく</rt></ruby>を<ruby>変更<rt>へんこう</rt></ruby>する。</div><div class="en">Depending on the results, we will change the plan.</div></div><div class="ex"><div class="jp"><ruby>事情<rt>じじょう</rt></ruby>のいかんによらず、<ruby>受<rt>う</rt></ruby>け<ruby>付<rt>つ</rt></ruby>けます。</div><div class="en">We will accept it regardless of circumstances.</div></div>	jlpt::N1
〜いかんによらず	〜いかんによらず	N1	regardless of ~	Noun + のいかんによらず	Formal, common in official notices.	いかんによらず is bureaucratic; にかかわらず is general.	<div class="ex"><div class="jp"><ruby>理由<rt>りゆう</rt></ruby>のいかんによらず、<ruby>返金<rt>へんきん</rt></ruby>しません。</div><div class="en">Regardless of the reason, we do not refund.</div></div><div class="ex"><div class="jp"><ruby>結果<rt>けっか</rt></ruby>のいかんによらず、<ruby>挑戦<rt>ちょうせん</rt></ruby>は<ruby>無駄<rt>むだ</rt></ruby>ではない。</div><div class="en">Regardless of the result, the attempt is not wasted.</div></div><div class="ex"><div class="jp"><ruby>万事<rt>ばんじ</rt></ruby>はその<ruby>結果<rt>けっか</rt></ruby>いかんにかかっている。</div><div class="en">Much depends upon the result.</div></div><div class="ex"><div class="jp"><ruby>天候<rt>てんこう</rt></ruby>のいかんにかかわらず<ruby>駅<rt>えき</rt></ruby>へ<ruby>迎<rt>むか</rt></ruby>えに<ruby>参<rt>まい</rt></ruby>ります。</div><div class="en">Rain or shine, I will come to meet you at the station.</div></div>	jlpt::N1
〜かたわら	〜かたわら	N1	while also ~	Verb dictionary form / Noun の + かたわら	A secondary long-term activity alongside a main one.	かたわら is a parallel occupation; ながら is momentary.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>教師<rt>きょうし</rt></ruby>のかたわら、<ruby>小説<rt>しょうせつ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いている。</div><div class="en">Alongside teaching, he writes novels.</div></div><div class="ex"><div class="jp"><ruby>仕事<rt>しごと</rt></ruby>のかたわら<ruby>勉強<rt>べんきょう</rt></ruby>を<ruby>続<rt>つづ</rt></ruby>けた。</div><div class="en">He continued studying alongside his job.</div></div><div class="ex"><div class="jp"><ruby>審判<rt>しんぱん</rt></ruby>はコートのかたわらにある<ruby>高<rt>たか</rt></ruby>い<ruby>椅子<rt>いす</rt></ruby>に<ruby>座<rt>すわ</rt></ruby>る。</div><div class="en">The umpire sits in a high chair at the side of the court.</div></div><div class="ex"><div class="jp"><ruby>王妃<rt>おうひ</rt></ruby>は<ruby>王<rt>おう</rt></ruby>のかたわらに<ruby>立<rt>た</rt></ruby>っていた。</div><div class="en">The queen stood beside the king.</div></div>	jlpt::N1
〜がてら	〜がてら	N1	while also doing ~	Verb ます-stem / Noun + がてら	One outing serving two purposes.	がてら is a combined errand; ついでに is incidental.	<div class="ex"><div class="jp"><ruby>散歩<rt>さんぽ</rt></ruby>がてら<ruby>買<rt>か</rt></ruby>い<ruby>物<rt>もの</rt></ruby>に<ruby>行<rt>い</rt></ruby>った。</div><div class="en">I went shopping while taking a walk.</div></div><div class="ex"><div class="jp"><ruby>見物<rt>けんぶつ</rt></ruby>がてら<ruby>訪<rt>たず</rt></ruby>ねてみた。</div><div class="en">I visited while sightseeing.</div></div>	jlpt::N1
〜がゆえに	〜がゆえに	N1	because of ~ (literary)	Plain form / Noun (である) + がゆえに	Formal written causation.	がゆえに is literary; ので is everyday.	<div class="ex"><div class="jp"><ruby>真剣<rt>しんけん</rt></ruby>であるがゆえに<ruby>厳<rt>きび</rt></ruby>しくなる。</div><div class="en">Because he is serious, he becomes strict.</div></div><div class="ex"><div class="jp"><ruby>若<rt>わか</rt></ruby>いがゆえの<ruby>過<rt>あやま</rt></ruby>ちだ。</div><div class="en">It is a mistake born of youth.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>たちは<ruby>両親<rt>りょうしん</rt></ruby>を<ruby>尊敬<rt>そんけい</rt></ruby>し、<ruby>愛<rt>あい</rt></ruby>しているがゆえに、<ruby>両親<rt>りょうしん</rt></ruby>に<ruby>従<rt>したが</rt></ruby>う。</div><div class="en">We obey our parents because we honor them and we love them.</div></div><div class="ex"><div class="jp"><ruby>愛<rt>あい</rt></ruby>するがゆえに<ruby>言葉<rt>ことば</rt></ruby>にできないこともあるし、<ruby>言<rt>い</rt></ruby>わぬが<ruby>花<rt>はな</rt></ruby>ということもあります。</div><div class="en">My love for you won&#x27;t let me tell you everything. Some things are better left unsaid.</div></div>	jlpt::N1
〜が早いか	〜が<ruby>早<rt>はや</rt></ruby>いか	N1	the instant ~	Verb dictionary form + が早いか	Two actions almost simultaneous; the second is abrupt.	が早いか is literary; とたん is more common.	<div class="ex"><div class="jp">ベルが<ruby>鳴<rt>な</rt></ruby>るが<ruby>早<rt>はや</rt></ruby>いか、<ruby>教室<rt>きょうしつ</rt></ruby>を<ruby>飛<rt>と</rt></ruby>び<ruby>出<rt>だ</rt></ruby>した。</div><div class="en">The instant the bell rang, he dashed out of the classroom.</div></div><div class="ex"><div class="jp"><ruby>座<rt>すわ</rt></ruby>るが<ruby>早<rt>はや</rt></ruby>いか、<ruby>眠<rt>ねむ</rt></ruby>ってしまった。</div><div class="en">No sooner had he sat down than he fell asleep.</div></div><div class="ex"><div class="jp"><ruby>山<rt>やま</rt></ruby>の<ruby>麓<rt>ふもと</rt></ruby>に<ruby>日<rt>ひ</rt></ruby>が<ruby>昇<rt>のぼ</rt></ruby>るが<ruby>早<rt>はや</rt></ruby>いかただ<ruby>一人<rt>ひとり</rt></ruby><ruby>山<rt>やま</rt></ruby>を<ruby>登<rt>のぼ</rt></ruby>り<ruby>始<rt>はじ</rt></ruby>めた。</div><div class="en">The sun had barely risen at the foot of the mountain when she set out alone up the slope.</div></div>	jlpt::N1
〜が最後	〜が<ruby>最後<rt>さいご</rt></ruby>	N1	once ~ happens, that&#x27;s it	Verb た-form + が最後	After this point the bad result is unavoidable.	が最後 is inevitable doom; たら is a plain condition.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>寝<rt>ね</rt></ruby>たが<ruby>最後<rt>さいご</rt></ruby>、<ruby>朝<rt>あさ</rt></ruby>まで<ruby>起<rt>お</rt></ruby>きない。</div><div class="en">Once he falls asleep, he won&#x27;t wake until morning.</div></div><div class="ex"><div class="jp"><ruby>言<rt>い</rt></ruby>ったが<ruby>最後<rt>さいご</rt></ruby>、<ruby>後戻<rt>あともど</rt></ruby>りできない。</div><div class="en">Once you say it, there&#x27;s no going back.</div></div>	jlpt::N1
〜きらいがある	〜きらいがある	N1	tend to (undesirably) ~	Verb dictionary form / Noun の + きらいがある	A formal, critical observation of a tendency.	きらいがある is formal criticism; がち is everyday.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>物事<rt>ものごと</rt></ruby>を<ruby>悲観<rt>ひかん</rt></ruby><ruby>的<rt>てき</rt></ruby>に<ruby>考<rt>かんが</rt></ruby>えるきらいがある。</div><div class="en">He tends to think about things pessimistically.</div></div><div class="ex"><div class="jp"><ruby>最近<rt>さいきん</rt></ruby>の<ruby>若者<rt>わかもの</rt></ruby>は<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>まないきらいがある。</div><div class="en">Young people these days tend not to read.</div></div>	jlpt::N1
〜きわまりない	〜きわまりない	N1	extremely ~	な-adjective stem + きわまりない	Formal, usually for negative qualities: 危険きわまりない.	きわまりない judges harshly; とても is neutral.	<div class="ex"><div class="jp"><ruby>危険<rt>きけん</rt></ruby>きわまりない<ruby>行為<rt>こうい</rt></ruby>だ。</div><div class="en">It is an extremely dangerous act.</div></div><div class="ex"><div class="jp"><ruby>失礼<rt>しつれい</rt></ruby>きわまりない<ruby>態度<rt>たいど</rt></ruby>。</div><div class="en">An extremely rude attitude.</div></div>	jlpt::N1
〜くらいなら	〜くらいなら	N1	rather than ~	Verb dictionary form + くらいなら	Rejects one option as worse than a drastic alternative.	くらいなら rejects; より compares neutrally.	<div class="ex"><div class="jp"><ruby>謝<rt>あやま</rt></ruby>るくらいなら、<ruby>最初<rt>さいしょ</rt></ruby>からするな。</div><div class="en">If you&#x27;re going to apologise, don&#x27;t do it in the first place.</div></div><div class="ex"><div class="jp"><ruby>待<rt>ま</rt></ruby>つくらいなら<ruby>歩<rt>ある</rt></ruby>いて<ruby>行<rt>い</rt></ruby>く。</div><div class="en">Rather than wait, I&#x27;ll walk.</div></div><div class="ex"><div class="jp">それをするくらいなら<ruby>死<rt>し</rt></ruby>んだほうがましだ。</div><div class="en">I may as well die as do it.</div></div><div class="ex"><div class="jp">タクシーで<ruby>行<rt>い</rt></ruby>くくらいなら<ruby>歩<rt>ある</rt></ruby>いた<ruby>方<rt>ほう</rt></ruby>がよい。</div><div class="en">I would rather walk than go by taxi.</div></div>	jlpt::N1
〜こそすれ	〜こそすれ	N1	may ~ but certainly not	Verb ます-stem / Noun + こそすれ	Affirms one thing while flatly denying the opposite.	こそすれ is literary contrast; は〜が is plain.	<div class="ex"><div class="jp"><ruby>感謝<rt>かんしゃ</rt></ruby>こそすれ、<ruby>恨<rt>うら</rt></ruby>むことはない。</div><div class="en">I may be grateful, but I certainly do not resent it.</div></div><div class="ex"><div class="jp"><ruby>増<rt>ふ</rt></ruby>えこそすれ、<ruby>減<rt>へ</rt></ruby>ることはない。</div><div class="en">It may increase, but it will certainly not decrease.</div></div>	jlpt::N1
〜こととて	〜こととて	N1	because it is ~ (apology)	Noun の / plain form + こととて	Archaic, apologetic reason-giving.	こととて apologises; ので is neutral.	<div class="ex"><div class="jp"><ruby>慣<rt>な</rt></ruby>れぬこととて、<ruby>失礼<rt>しつれい</rt></ruby>しました。</div><div class="en">Being unaccustomed to it, I was rude.</div></div><div class="ex"><div class="jp"><ruby>急<rt>きゅう</rt></ruby>なこととて、<ruby>準備<rt>じゅんび</rt></ruby>ができていない。</div><div class="en">As it is sudden, we are not prepared.</div></div>	jlpt::N1
〜すら	〜すら	N1	even ~	Noun + すら	A formal, emphatic version of さえ.	すら is literary; さえ is everyday.	<div class="ex"><div class="jp"><ruby>名前<rt>なまえ</rt></ruby>すら<ruby>知<rt>し</rt></ruby>らなかった。</div><div class="en">I didn&#x27;t even know his name.</div></div><div class="ex"><div class="jp"><ruby>水<rt>みず</rt></ruby>すら<ruby>飲<rt>の</rt></ruby>めない<ruby>状態<rt>じょうたい</rt></ruby>だった。</div><div class="en">He was in a state where he couldn&#x27;t even drink water.</div></div>	jlpt::N1
〜ずくめ	〜ずくめ	N1	nothing but ~	Noun + ずくめ	A run of the same thing: いいことずくめ, 黒ずくめ.	ずくめ is a run of the same; だらけ is an unpleasant covering.	<div class="ex"><div class="jp"><ruby>今年<rt>ことし</rt></ruby>はいいことずくめだった。</div><div class="en">This year was nothing but good things.</div></div><div class="ex"><div class="jp"><ruby>黒<rt>くろ</rt></ruby>ずくめの<ruby>服装<rt>ふくそう</rt></ruby>だった。</div><div class="en">He was dressed all in black.</div></div>	jlpt::N1
〜ずにはすまない	〜ずにはすまない	N1	cannot get away without ~ing	Verb ない-stem + ずにはすまない	Social pressure makes the action unavoidable.	ずにはすまない is social duty; ざるを得ない is circumstance.	<div class="ex"><div class="jp"><ruby>壊<rt>こわ</rt></ruby>したのだから、<ruby>弁償<rt>べんしょう</rt></ruby>せずにはすまない。</div><div class="en">Since I broke it, I can&#x27;t get away without paying for it.</div></div><div class="ex"><div class="jp"><ruby>謝<rt>あやま</rt></ruby>らずにはすまないだろう。</div><div class="en">He won&#x27;t get away without apologising.</div></div>	jlpt::N1
〜そばから	〜そばから	N1	no sooner than ~, again and again	Verb dictionary / た-form + そばから	The action is undone as fast as it is done, repeatedly.	そばから repeats; とたん is a single sudden event.	<div class="ex"><div class="jp"><ruby>覚<rt>おぼ</rt></ruby>えるそばから<ruby>忘<rt>わす</rt></ruby>れてしまう。</div><div class="en">I forget things as fast as I learn them.</div></div><div class="ex"><div class="jp"><ruby>片付<rt>かたづ</rt></ruby>けるそばから<ruby>散<rt>ち</rt></ruby>らかされる。</div><div class="en">It gets messed up as soon as I tidy it.</div></div>	jlpt::N1
